WORK ORDER,LOCATION,OUTPUT TO,ASSIGNED TO,SERVICE TYPE,SCHEDULE DATE,SYMPTOM/TASK
23481261,"Scholars Inn Apartments: 1032 - Entire Area, Kitchen Area",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor Re-Work,7/26/2026,Please remove the garbage disposal on the kitchen sink Reference work order: 23287835
23479680,"Scholars Inn Apartments: 1433 - Entire Area, ",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/24/2026,Please assess the Kitchen vanity for BG under
23476704,"Scholars Inn Apartments: 1231 - Entire Area, Kitchen area",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/23/2026,Please replace the refrigerator that's in the kitchen area due to leaking.
23473479,"Centennial Courts Apartments: 521 - Entire Area, ",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/22/2026,Please close up hole in the siding outside the front door.
23472262,"Centennial Courts Apartments: 1114 - Entire Area, ",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/21/2026,Common Area Blinds need to be changed Bedroom A & B blinds changed
23472260,"Centennial Courts Apartments: 1111A, ",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/21/2026,"Please assess the room door. Door wont close, needs to be adjusted to close properly"
23472259,"Centennial Courts Apartments: 1124 - Entire Area, ",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/21/2026,Bedrooms A & B-replace the blinds
23472257,"Centennial Courts Apartments: 1122 - Entire Area, ",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/21/2026,Bedrooms A & B-replace the blinds
23472256,"Centennial Courts Apartments: 1134 - Entire Area, ",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/21/2026,Common Area blinds replaced Room B blinds replaced Room D blinds replaced
23472251,"Centennial Courts Apartments: 412C, ",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/21/2026,Common Area blinds replaced Room B blinds replaced Room D blinds replaced
23472249,"Centennial Courts Apartments: 611 - Entire Area, ",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/21/2026,"Bedroom A- Needs a new dresser, pull from scholars basement, trash the old"
23472248,"Centennial Courts Apartments: 614B, ",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/21/2026,Replace the desk light cover
23472247,"Centennial Courts Apartments: 622 - Entire Area, Common Area Bathroom",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/21/2026,Please assess the bathroom ceiling over tub for BG.
23472246,"Centennial Courts Apartments: 631C, ",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/21/2026,Install Smoke detector in room.
23472245,"Centennial Courts Apartments: 1023 - Entire Area, ",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/21/2026,Please install a Refrigerator
23471248,"Centennial Courts Apartments: 912 - Entire Area, ",Belfor,Hayden Hurst (Belfor),SMR27 - Belfor,7/21/2026,Replace Common area Blinds -Cove Base is coming off wall in kitchen
